Freq	Int 	Phase
-4.79548e+14	6.72406e-19	2.79872
-4.7906e+14	9.39722e-18	-2.99758
-4.78571e+14	2.60401e-17	3.10578
-4.78083e+14	2.84432e-17	3.07661
-4.77595e+14	1.09734e-17	2.59129
-4.77107e+14	1.84095e-18	2.01081
-4.76618e+14	1.72909e-17	2.26794
-4.7613e+14	6.87123e-18	2.76461
-4.75642e+14	1.49506e-17	1.97761
-4.75154e+14	9.89742e-18	2.63019
-4.74665e+14	1.3875e-17	2.33889
-4.74177e+14	5.10136e-17	1.61899
-4.73689e+14	2.30615e-17	1.96409
-4.732e+14	2.44438e-17	2.21907
-4.72712e+14	2.97525e-17	2.1888
-4.72224e+14	5.67303e-17	1.70462
-4.71736e+14	2.36828e-18	0.0161888
-4.71247e+14	5.9914e-18	-2.98121
-4.70759e+14	3.58716e-17	-3.12518
-4.70271e+14	2.21266e-17	2.69029
-4.69782e+14	2.25783e-17	2.54657
-4.69294e+14	2.8936e-17	1.60649
-4.68806e+14	6.20727e-17	2.44152
-4.68318e+14	2.83918e-17	2.19076
-4.67829e+14	2.36103e-17	2.10776
-4.67341e+14	1.24065e-18	-2.98333
-4.66853e+14	2.32138e-17	2.19495
-4.66364e+14	4.86166e-17	1.93407
-4.65876e+14	6.9641e-17	1.75164
-4.65388e+14	5.4049e-17	2.17292
-4.649e+14	2.63946e-17	1.92035
-4.64411e+14	6.20708e-17	2.05863
-4.63923e+14	2.42868e-17	1.82402
-4.63435e+14	1.2067e-17	1.91875
-4.62946e+14	2.16833e-17	2.50268
-4.62458e+14	2.80142e-17	2.25656
-4.6197e+14	4.49148e-17	2.17529
-4.61482e+14	1.51132e-17	1.70374
-4.60993e+14	1.9996e-17	2.64796
-4.60505e+14	4.00654e-17	1.76818
-4.60017e+14	2.60414e-17	2.59776
-4.59529e+14	1.11291e-17	1.94203
-4.5904e+14	1.06429e-17	1.71395
-4.58552e+14	3.66352e-17	2.08609
-4.58064e+14	7.90174e-17	1.91987
-4.57575e+14	1.52614e-17	2.29146
-4.57087e+14	2.83708e-17	2.46107
-4.56599e+14	7.21588e-17	1.65627
-4.56111e+14	1.57811e-17	2.65343
-4.55622e+14	2.22655e-17	2.56043
-4.55134e+14	3.57686e-17	2.80614
-4.54646e+14	3.76184e-17	1.80934
-4.54157e+14	3.57079e-17	2.05922
-4.53669e+14	1.60277e-17	2.16128
-4.53181e+14	4.45423e-17	2.44933
-4.52693e+14	2.90251e-17	1.76478
-4.52204e+14	1.76774e-17	2.07863
-4.51716e+14	5.19932e-17	2.85803
-4.51228e+14	1.48462e-17	2.3472
-4.50739e+14	1.77737e-17	2.20855
-4.50251e+14	4.15057e-17	1.53503
-4.49763e+14	4.1987e-17	2.08824
-4.49275e+14	2.14937e-17	2.75372
-4.48786e+14	1.82219e-17	1.30365
-4.48298e+14	4.70341e-18	2.41424
-4.4781e+14	5.53761e-17	2.1292
-4.47321e+14	1.46022e-17	2.96241
-4.46833e+14	7.58331e-17	2.18902
-4.46345e+14	1.3765e-17	1.9907
-4.45857e+14	3.32113e-17	2.71933
-4.45368e+14	2.68724e-17	2.61228
-4.4488e+14	8.80026e-18	1.77317
-4.44392e+14	2.79353e-17	2.57698
-4.43904e+14	6.241e-17	2.20022
-4.43415e+14	9.15992e-18	2.41927
-4.42927e+14	2.82876e-17	2.0525
-4.42439e+14	6.73793e-17	1.70177
-4.4195e+14	1.06101e-16	2.28143
-4.41462e+14	3.15306e-17	1.97062
-4.40974e+14	2.28026e-18	2.03675
-4.40486e+14	4.51688e-17	2.91338
-4.39997e+14	1.06502e-16	2.84199
-4.39509e+14	2.99196e-17	2.98569
-4.39021e+14	2.84547e-17	2.3213
-4.38532e+14	9.01185e-17	2.89258
-4.38044e+14	4.26211e-17	2.31242
